"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions1","correct_instructions2","correct_instructions3","correct_instructions4","correct_keyboard_response","correct_response","correct_stim","count_ISI","count_block_one","count_block_two","count_break","count_experiment","count_fixation","count_instructions1","count_instructions2","count_instructions3","count_instructions4","count_keyboard_response","count_logger","count_new_inline_javascript","count_stim","count_trial_sequence","datetime","description","disable_garbage_collection","experiment_file","experiment_path","false_response","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block_one","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_break","response_instructions1","response_instructions2","response_instructions3","response_instructions4","response_keyboard_response","response_stim","response_time","response_time_break","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_instructions4","response_time_keyboard_response","response_time_stim","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stim","subject_nr","subject_parity","time_ISI","time_block_one","time_block_two","time_break","time_experiment","time_fixation","time_instructions1","time_instructions2","time_instructions3","time_instructions4","time_keyboard_response","time_logger","time_new_inline_javascript","time_stim","time_trial_sequence","title","total_correct","total_response_time","total_responses","true_false","true_response","uniform_coordinates","width"
"0","0","1000.1818181818181","1000.1818181818181","black","legacy","legacy","legacy","0","SO","uniform","0","undefined","undefined","undefined","undefined","0","[false_response]","1","10","0","0","0","0","10","0","0","0","0","10","10","0","10","10","Wed Nov 24 20:55:02 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","10","10","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-100.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","z","1000","NA","1682","4067","1341","1777","1000","1465","2","legacy","1024","2","48000","-16","experiment","A raft is an aircraft carrier.","100","even","46535","11322","NA","NA","2341","46030","2425","4123","8197","9544","46735","47735","2420","44561","44557","Sentence_verification","0","11002","11","FALSE","m","yes","1024"
"0","0","1000.1666666666666","1000.1666666666666","black","legacy","legacy","legacy","0","SO","uniform","0","undefined","undefined","undefined","undefined","0","[false_response]","1","11","0","0","0","0","11","0","0","0","0","11","11","0","11","11","Wed Nov 24 20:55:02 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","11","11","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-100.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","z","1000","NA","1682","4067","1341","1777","1000","1770","2","legacy","1024","2","48000","-16","experiment","Caramel is cotton candy.","100","even","50073","11322","NA","NA","2341","49569","2425","4123","8197","9544","50273","51273","2420","47795","47791","Sentence_verification","0","12002","12","FALSE","m","yes","1024"
"0","0","1000.1538461538462","1000.1538461538462","black","legacy","legacy","legacy","0","P1","uniform","0","undefined","undefined","undefined","undefined","0","[false_response]","1","12","0","0","0","0","12","0","0","0","0","12","12","0","12","12","Wed Nov 24 20:55:02 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","12","12","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-100.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","z","1000","NA","1682","4067","1341","1777","1000","1518","2","legacy","1024","2","48000","-16","experiment","A dove has fins.","100","even","53372","11322","NA","NA","2341","52862","2425","4123","8197","9544","53572","54572","2420","51339","51335","Sentence_verification","0","13002","13","FALSE","m","yes","1024"
"0","0","1000.1428571428571","1000.1428571428571","black","legacy","legacy","legacy","0","S1","uniform","0","undefined","undefined","undefined","undefined","0","[false_response]","0","13","0","0","0","0","13","0","0","0","0","13","13","0","13","13","Wed Nov 24 20:55:02 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","13","13","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-100.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","m","1000","NA","1682","4067","1341","1777","1000","1069","2","legacy","1024","2","48000","-16","experiment","Peru is a city.","100","even","56208","11322","NA","NA","2341","55704","2425","4123","8197","9544","56409","57409","2420","54630","54626","Sentence_verification","0","14002","14","FALSE","m","yes","1024"
"0","0","1000.1333333333333","1000.1333333333333","black","legacy","legacy","legacy","0","P2","uniform","0","undefined","undefined","undefined","undefined","0","[true_response]","1","14","0","0","0","0","14","0","0","0","0","14","14","0","14","14","Wed Nov 24 20:55:02 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","14","14","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-100.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","m","1000","NA","1682","4067","1341","1777","1000","822","2","legacy","1024","2","48000","-16","experiment","Gin is wet.","100","even","58809","11322","NA","NA","2341","58303","2425","4123","8197","9544","59009","60009","2420","57476","57471","Sentence_verification","0","15002","15","TRUE","m","yes","1024"
"0","0","1000.125","1000.125","black","legacy","legacy","legacy","0","S1","uniform","0","undefined","undefined","undefined","undefined","0","[true_response]","1","15","0","0","0","0","15","0","0","0","0","15","15","0","15","15","Wed Nov 24 20:55:02 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","15","15","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-100.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","m","1000","NA","1682","4067","1341","1777","1000","948","2","legacy","1024","2","48000","-16","experiment","Tennis is a game.","100","even","61534","11322","NA","NA","2341","61030","2425","4123","8197","9544","61734","62734","2420","60078","60073","Sentence_verification","0","16002","16","TRUE","m","yes","1024"
"0","0","1000.1176470588235","1000.1176470588235","black","legacy","legacy","legacy","0","PO","uniform","0","undefined","undefined","undefined","undefined","0","[true_response]","1","16","0","0","0","0","16","0","0","0","0","16","16","0","16","16","Wed Nov 24 20:55:02 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","16","16","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-100.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","m","1000","NA","1682","4067","1341","1777","1000","1071","2","legacy","1024","2","48000","-16","experiment","A sunflower is yellow. ","100","even","64372","11322","NA","NA","2341","63868","2425","4123","8197","9544","64572","65572","2420","62793","62789","Sentence_verification","0","17002","17","TRUE","m","yes","1024"
"0","0","1000.1111111111111","1000.1111111111111","black","legacy","legacy","legacy","0","S1","uniform","0","undefined","undefined","undefined","undefined","0","[false_response]","1","17","0","0","0","0","17","0","0","0","0","17","17","0","17","17","Wed Nov 24 20:55:02 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","17","17","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-100.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","z","1000","NA","1682","4067","1341","1777","1000","1134","2","legacy","1024","2","48000","-16","experiment","Football is a lottery.","100","even","67278","11322","NA","NA","2341","66775","2425","4123","8197","9544","67478","68478","2420","65634","65629","Sentence_verification","0","18002","18","FALSE","m","yes","1024"
"0","0","1000.1052631578947","1000.1052631578947","black","legacy","legacy","legacy","0","P1","uniform","0","undefined","undefined","undefined","undefined","0","[true_response]","1","18","0","0","0","0","18","0","0","0","0","18","18","0","18","18","Wed Nov 24 20:55:02 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","18","18","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-100.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","m","1000","NA","1682","4067","1341","1777","1000","1338","2","legacy","1024","2","48000","-16","experiment","A violet has a stem. ","100","even","70379","11322","NA","NA","2341","69875","2425","4123","8197","9544","70579","71579","2420","68532","68528","Sentence_verification","0","19002","19","TRUE","m","yes","1024"
"0","0","1000.1","1000.1","black","legacy","legacy","legacy","0","PO","uniform","0","undefined","undefined","undefined","undefined","0","[false_response]","1","19","0","0","0","0","19","0","0","0","0","19","19","0","19","19","Wed Nov 24 20:55:02 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","19","19","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-100.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","z","1000","NA","1682","4067","1341","1777","1000","1947","2","legacy","1024","2","48000","-16","experiment","A rowboat has a motor.","100","even","74095","11322","NA","NA","2341","73591","2425","4123","8197","9544","74295","75295","2420","71639","71635","Sentence_verification","0","20002","20","FALSE","m","yes","1024"
"0","0","1000.0952380952381","1000.0952380952381","black","legacy","legacy","legacy","0","S1","uniform","0","undefined","undefined","undefined","undefined","0","[false_response]","1","20","0","0","0","0","20","0","0","0","0","20","20","0","20","20","Wed Nov 24 20:55:02 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","20","20","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-100.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","z","1000","NA","1682","4067","1341","1777","1000","1284","2","legacy","1024","2","48000","-16","experiment","A catfish is a whale.","100","even","77147","11322","NA","NA","2341","76643","2425","4123","8197","9544","77347","78347","2420","75355","75350","Sentence_verification","0","21002","21","FALSE","m","yes","1024"
"0","0","1000.0909090909091","1000.0909090909091","black","legacy","legacy","legacy","0","SO","uniform","0","undefined","undefined","undefined","undefined","0","[true_response]","1","21","0","0","0","0","21","0","0","0","0","21","21","0","21","21","Wed Nov 24 20:55:02 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","21","21","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-100.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","m","1000","NA","1682","4067","1341","1777","1000","1198","2","legacy","1024","2","48000","-16","experiment","A gardenia is a gardenia. ","100","even","80114","11322","NA","NA","2341","79610","2425","4123","8197","9544","80314","81314","2420","78407","78403","Sentence_verification","0","22002","22","TRUE","m","yes","1024"
"0","0","1000.0869565217391","1000.0869565217391","black","legacy","legacy","legacy","0","P1","uniform","0","undefined","undefined","undefined","undefined","0","[false_response]","1","22","0","0","0","0","22","0","0","0","0","22","22","0","22","22","Wed Nov 24 20:55:02 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","22","22","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-100.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","z","1000","NA","1682","4067","1341","1777","1000","909","2","legacy","1024","2","48000","-16","experiment","A daisy is black.","100","even","82785","11322","NA","NA","2341","82280","2425","4123","8197","9544","82985","83985","2420","81367","81363","Sentence_verification","0","23002","23","FALSE","m","yes","1024"
"0","0","1000.0833333333334","1000.0833333333334","black","legacy","legacy","legacy","0","S1","uniform","0","undefined","undefined","undefined","undefined","0","[false_response]","1","23","0","0","0","0","23","0","0","0","0","23","23","0","23","23","Wed Nov 24 20:55:02 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","23","23","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-100.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","z","1000","NA","1682","4067","1341","1777","1000","1438","2","legacy","1024","2","48000","-16","experiment","Aarhus is a region.","100","even","85976","11322","NA","NA","2341","85472","2425","4123","8197","9544","86176","87176","2420","84030","84026","Sentence_verification","0","24002","24","FALSE","m","yes","1024"
"0","0","1000.08","1000.08","black","legacy","legacy","legacy","0","SO","uniform","0","undefined","undefined","undefined","undefined","0","[true_response]","1","24","0","0","0","0","24","0","0","0","0","24","24","0","24","24","Wed Nov 24 20:55:02 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","24","24","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-100.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","m","1000","NA","1682","4067","1341","1777","1000","759","2","legacy","1024","2","48000","-16","experiment","Licorice is licorice. ","100","even","88504","11322","NA","NA","2341","88000","2425","4123","8197","9544","88705","89705","2420","87238","87233","Sentence_verification","0","25002","25","TRUE","m","yes","1024"
"0","0","1000.0769230769231","1000.0769230769231","black","legacy","legacy","legacy","0","SO","uniform","0","undefined","undefined","undefined","undefined","0","[false_response]","1","25","0","0","0","0","25","0","0","0","0","25","25","0","25","25","Wed Nov 24 20:55:02 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","25","25","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-100.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","z","1000","NA","1682","4067","1341","1777","1000","1198","2","legacy","1024","2","48000","-16","experiment","Chicago is a state.","100","even","91464","11322","NA","NA","2341","90960","2425","4123","8197","9544","91664","92664","2420","89758","89754","Sentence_verification","0","26002","26","FALSE","m","yes","1024"
"0","0","1000.074074074074","1000.074074074074","black","legacy","legacy","legacy","0","PO","uniform","0","undefined","undefined","undefined","undefined","0","[false_response]","1","26","0","0","0","0","26","0","0","0","0","26","26","0","26","26","Wed Nov 24 20:55:02 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","26","26","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-100.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","z","1000","NA","1682","4067","1341","1777","1000","1306","2","legacy","1024","2","48000","-16","experiment","A rose has bark.","100","even","94537","11322","NA","NA","2341","94033","2425","4123","8197","9544","94737","95737","2420","92722","92718","Sentence_verification","0","27002","27","FALSE","m","yes","1024"
"0","0","1000.0714285714286","1000.0714285714286","black","legacy","legacy","legacy","0","SO","uniform","0","undefined","undefined","undefined","undefined","0","[false_response]","1","27","0","0","0","0","27","0","0","0","0","27","27","0","27","27","Wed Nov 24 20:55:02 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","27","27","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-100.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","z","1000","NA","1682","4067","1341","1777","1000","1033","2","legacy","1024","2","48000","-16","experiment","An apple is an orange.","100","even","97330","11322","NA","NA","2341","96826","2425","4123","8197","9544","97530","98530","2420","95789","95785","Sentence_verification","0","28002","28","FALSE","m","yes","1024"
"0","0","1000.0689655172414","1000.0689655172414","black","legacy","legacy","legacy","0","P1","uniform","0","undefined","undefined","undefined","undefined","0","[true_response]","1","28","0","0","0","0","28","0","0","0","0","28","28","0","28","28","Wed Nov 24 20:55:02 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","28","28","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-100.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","m","1000","NA","1682","4067","1341","1777","1000","1382","2","legacy","1024","2","48000","-16","experiment","Pittsburg has people. ","100","even","100475","11322","NA","NA","2341","99970","2425","4123","8197","9544","100676","101676","2420","98584","98580","Sentence_verification","0","29002","29","TRUE","m","yes","1024"
"0","0","1000.0666666666667","1000.0666666666667","black","legacy","legacy","legacy","0","SO","uniform","0","undefined","undefined","undefined","undefined","0","[false_response]","1","29","0","0","0","0","29","0","0","0","0","29","29","0","29","29","Wed Nov 24 20:55:02 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","29","29","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-100.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","z","1000","NA","1682","4067","1341","1777","1000","1865","2","legacy","1024","2","48000","-16","experiment","A bass is a crab.","100","even","104094","11322","NA","NA","2341","103591","2425","4123","8197","9544","104294","105294","2420","101722","101719","Sentence_verification","0","30002","30","FALSE","m","yes","1024"
