acc,accuracy,average_response_time,avg_rt,background,bidi,block,block_picker,browser_codename,browser_name,browser_version,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_keyboard_response,correct_response,count_backward_mask,count_block_1,count_block_2,count_block_3,count_correct,count_counter_balance,count_experiment,count_fix,count_forward_mask,count_incorrect,count_instructions_1,count_instructions_2,count_instructions_3,count_instructions_4,count_keyboard_response,count_logger,count_osweb,count_practice_loop,count_prime,count_target,count_trials,date_startdate,date_startdateUTC,date_starttime,datetime,description,disable_garbage_collection,experiment_debug,experiment_parameters,experiment_path,experiment_pilot,experiment_taskname,experiment_taskversion,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,jatosStudyResultId,jatosVersion,keyboard_backend,mouse_backend,num_letters,opensesame_codename,opensesame_version,penwidth,prime,queryParams_batchId,queryParams_generalMultiple,repeat_cycle,response,response_instructions_1,response_instructions_2,response_instructions_3,response_instructions_4,response_keyboard_response,response_time,response_time_instructions_1,response_time_instructions_2,response_time_instructions_3,response_time_instructions_4,response_time_keyboard_response,round_decimals,sampler_backend,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,sessionid,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,system_os,target,time_backward_mask,time_block_1,time_block_2,time_block_3,time_correct,time_counter_balance,time_fix,time_forward_mask,time_incorrect,time_instructions_1,time_instructions_2,time_instructions_3,time_instructions_4,time_keyboard_response,time_logger,time_practice_loop,time_prime,time_target,title,total_correct,total_response_time,total_responses,type,uniform_coordinates,width
91,91,720,720,black,no,block2,2,Mozilla,Netscape,5.0 (Windows),psycho,psycho,psycho,0,fully-scrambled,uniform,1,1,f,10,0,0,0,10,0,0,10,10,10,0,0,0,0,10,10,0,0,10,10,10,27-10-22,27-10-22,14:55:24,Sun Nov 27 2022 14:55:24 GMT+0100 (Centraleuropæisk normaltid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class1,0,0,0,no,mono,no,18,no,white,no,no,768,924,3.6.1,psycho,psycho,4,osweb,1.4.11,1,ronc,262,,0,f,m,m,a,f,f,684,4309482,1119,1840,1026,684,2,psycho,672,1280,24,720,24,-7,-7,1280,1669557156776,1024,2,48000,-16,experiment,0,even,Win32,corn,4335306,57,57,57,4333994,44,4334551,4335207,4318879,57,4309576,4310705,4325454,4335357,4336052,57,4335257,4335356,ExPsyLing2022_Class1,10,7921,11,fruit_veg,yes,1024
92,92,745,745,black,no,block2,2,Mozilla,Netscape,5.0 (Windows),psycho,psycho,psycho,0,identical,uniform,1,1,f,11,0,0,0,11,0,0,11,11,11,0,0,0,0,11,11,0,0,11,11,11,27-10-22,27-10-22,14:55:24,Sun Nov 27 2022 14:55:24 GMT+0100 (Centraleuropæisk normaltid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class1,0,0,0,no,mono,no,18,no,white,no,no,768,924,3.6.1,psycho,psycho,7,osweb,1.4.11,1,parsnip,262,,0,f,m,m,a,f,f,1018,4309482,1119,1840,1026,1018,2,psycho,672,1280,24,720,24,-7,-7,1280,1669557156776,1024,2,48000,-16,experiment,0,even,Win32,parsnip,4337372,57,57,57,4336055,44,4336604,4337272,4318879,57,4309576,4310705,4325454,4337422,4338451,57,4337322,4337422,ExPsyLing2022_Class1,11,8939,12,fruit_veg,yes,1024
92,92,737,737,black,no,block2,2,Mozilla,Netscape,5.0 (Windows),psycho,psycho,psycho,0,semi-scrambled,uniform,1,1,f,12,0,0,0,12,0,0,12,12,12,0,0,0,0,12,12,0,0,12,12,12,27-10-22,27-10-22,14:55:24,Sun Nov 27 2022 14:55:24 GMT+0100 (Centraleuropæisk normaltid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class1,0,0,0,no,mono,no,18,no,white,no,no,768,924,3.6.1,psycho,psycho,5,osweb,1.4.11,1,punre,262,,0,f,m,m,a,f,f,642,4309482,1119,1840,1026,642,2,psycho,672,1280,24,720,24,-7,-7,1280,1669557156776,1024,2,48000,-16,experiment,0,even,Win32,prune,4339738,57,57,57,4338457,44,4339000,4339654,4318879,57,4309576,4310705,4325454,4339787,4340434,57,4339704,4339787,ExPsyLing2022_Class1,12,9581,13,fruit_veg,yes,1024
93,93,719,719,black,no,block2,2,Mozilla,Netscape,5.0 (Windows),psycho,psycho,psycho,0,semi-scrambled,uniform,1,1,f,13,0,0,0,13,0,0,13,13,13,0,0,0,0,13,13,0,0,13,13,13,27-10-22,27-10-22,14:55:24,Sun Nov 27 2022 14:55:24 GMT+0100 (Centraleuropæisk normaltid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class1,0,0,0,no,mono,no,18,no,white,no,no,768,924,3.6.1,psycho,psycho,5,osweb,1.4.11,1,ooinn,262,,0,f,m,m,a,f,f,484,4309482,1119,1840,1026,484,2,psycho,672,1280,24,720,24,-7,-7,1280,1669557156776,1024,2,48000,-16,experiment,0,even,Win32,onion,4341736,57,57,57,4340439,44,4340980,4341637,4318879,57,4309576,4310705,4325454,4341787,4342283,57,4341686,4341787,ExPsyLing2022_Class1,13,10065,14,fruit_veg,yes,1024
93,93,703,703,black,no,block2,2,Mozilla,Netscape,5.0 (Windows),psycho,psycho,psycho,0,semi-scrambled,uniform,1,1,f,14,0,0,0,14,0,0,14,14,14,0,0,0,0,14,14,0,0,14,14,14,27-10-22,27-10-22,14:55:24,Sun Nov 27 2022 14:55:24 GMT+0100 (Centraleuropæisk normaltid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class1,0,0,0,no,mono,no,18,no,white,no,no,768,924,3.6.1,psycho,psycho,6,osweb,1.4.11,1,susqah,262,,0,f,m,m,a,f,f,474,4309482,1119,1840,1026,474,2,psycho,672,1280,24,720,24,-7,-7,1280,1669557156776,1024,2,48000,-16,experiment,0,even,Win32,squash,4343586,57,57,57,4342288,44,4342830,4343487,4318879,57,4309576,4310705,4325454,4343637,4344116,57,4343536,4343636,ExPsyLing2022_Class1,14,10539,15,fruit_veg,yes,1024
94,94,692,692,black,no,block2,2,Mozilla,Netscape,5.0 (Windows),psycho,psycho,psycho,0,semi-scrambled,uniform,1,1,f,15,0,0,0,15,0,0,15,15,15,0,0,0,0,15,15,0,0,15,15,15,27-10-22,27-10-22,14:55:24,Sun Nov 27 2022 14:55:24 GMT+0100 (Centraleuropæisk normaltid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class1,0,0,0,no,mono,no,18,no,white,no,no,768,924,3.6.1,psycho,psycho,6,osweb,1.4.11,1,croart,262,,0,f,m,m,a,f,f,533,4309482,1119,1840,1026,533,2,psycho,672,1280,24,720,24,-7,-7,1280,1669557156776,1024,2,48000,-16,experiment,0,even,Win32,carrot,4345401,57,57,57,4344122,44,4344660,4345318,4318879,57,4309576,4310705,4325454,4345450,4345998,57,4345367,4345450,ExPsyLing2022_Class1,15,11072,16,fruit_veg,yes,1024
94,94,685,685,black,no,block2,2,Mozilla,Netscape,5.0 (Windows),psycho,psycho,psycho,0,identical,uniform,1,1,a,16,0,0,0,16,0,0,16,16,16,0,0,0,0,16,16,0,0,16,16,16,27-10-22,27-10-22,14:55:24,Sun Nov 27 2022 14:55:24 GMT+0100 (Centraleuropæisk normaltid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class1,0,0,0,no,mono,no,18,no,white,no,no,768,924,3.6.1,psycho,psycho,7,osweb,1.4.11,1,chicken,262,,0,a,m,m,a,f,a,568,4309482,1119,1840,1026,568,2,psycho,672,1280,24,720,24,-7,-7,1280,1669557156776,1024,2,48000,-16,experiment,0,even,Win32,chicken,4347301,57,57,57,4346002,44,4346543,4347200,4318879,57,4309576,4310705,4325454,4347350,4347931,57,4347251,4347350,ExPsyLing2022_Class1,16,11640,17,animal,yes,1024
94,94,679,679,black,no,block2,2,Mozilla,Netscape,5.0 (Windows),psycho,psycho,psycho,0,identical,uniform,1,1,f,17,0,0,0,17,0,0,17,17,17,0,0,0,0,17,17,0,0,17,17,17,27-10-22,27-10-22,14:55:24,Sun Nov 27 2022 14:55:24 GMT+0100 (Centraleuropæisk normaltid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class1,0,0,0,no,mono,no,18,no,white,no,no,768,924,3.6.1,psycho,psycho,5,osweb,1.4.11,1,olive,262,,0,f,m,m,a,f,f,575,4309482,1119,1840,1026,575,2,psycho,672,1280,24,720,24,-7,-7,1280,1669557156776,1024,2,48000,-16,experiment,0,even,Win32,olive,4349233,57,57,57,4347936,44,4348480,4349134,4318879,57,4309576,4310705,4325454,4349284,4349864,57,4349184,4349283,ExPsyLing2022_Class1,17,12215,18,fruit_veg,yes,1024
95,95,677,677,black,no,block2,2,Mozilla,Netscape,5.0 (Windows),psycho,psycho,psycho,0,identical,uniform,1,1,a,18,0,0,0,18,0,0,18,18,18,0,0,0,0,18,18,0,0,18,18,18,27-10-22,27-10-22,14:55:24,Sun Nov 27 2022 14:55:24 GMT+0100 (Centraleuropæisk normaltid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class1,0,0,0,no,mono,no,18,no,white,no,no,768,924,3.6.1,psycho,psycho,4,osweb,1.4.11,1,calf,262,,0,a,m,m,a,f,a,651,4309482,1119,1840,1026,651,2,psycho,672,1280,24,720,24,-7,-7,1280,1669557156776,1024,2,48000,-16,experiment,0,even,Win32,calf,4351150,57,57,57,4349869,44,4350403,4351064,4318879,57,4309576,4310705,4325454,4351200,4351863,57,4351114,4351200,ExPsyLing2022_Class1,18,12866,19,animal,yes,1024
95,95,686,686,black,no,block2,2,Mozilla,Netscape,5.0 (Windows),psycho,psycho,psycho,0,semi-scrambled,uniform,1,1,a,19,0,0,0,19,0,0,19,19,19,0,0,0,0,19,19,0,0,19,19,19,27-10-22,27-10-22,14:55:24,Sun Nov 27 2022 14:55:24 GMT+0100 (Centraleuropæisk normaltid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class1,0,0,0,no,mono,no,18,no,white,no,no,768,924,3.6.1,psycho,psycho,6,osweb,1.4.11,1,juaagr,262,,0,a,m,m,a,f,a,846,4309482,1119,1840,1026,846,2,psycho,672,1280,24,720,24,-7,-7,1280,1669557156776,1024,2,48000,-16,experiment,0,even,Win32,jaguar,4353150,57,57,57,4351868,44,4352405,4353065,4318879,57,4309576,4310705,4325454,4353199,4354062,57,4353115,4353199,ExPsyLing2022_Class1,19,13712,20,animal,yes,1024
95,95,678,678,black,no,block2,2,Mozilla,Netscape,5.0 (Windows),psycho,psycho,psycho,0,semi-scrambled,uniform,1,1,f,20,0,0,0,20,0,0,20,20,20,0,0,0,0,20,20,0,0,20,20,20,27-10-22,27-10-22,14:55:24,Sun Nov 27 2022 14:55:24 GMT+0100 (Centraleuropæisk normaltid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class1,0,0,0,no,mono,no,18,no,white,no,no,768,924,3.6.1,psycho,psycho,6,osweb,1.4.11,1,ograne,262,,0,f,m,m,a,f,f,531,4309482,1119,1840,1026,531,2,psycho,672,1280,24,720,24,-7,-7,1280,1669557156776,1024,2,48000,-16,experiment,0,even,Win32,orange,4355349,57,57,57,4354066,44,4354599,4355265,4318879,57,4309576,4310705,4325454,4355398,4355945,57,4355314,4355398,ExPsyLing2022_Class1,20,14243,21,fruit_veg,yes,1024
95,95,679,679,black,no,block2,2,Mozilla,Netscape,5.0 (Windows),psycho,psycho,psycho,0,fully-scrambled,uniform,1,1,a,21,0,0,0,21,0,0,21,21,21,0,0,0,0,21,21,0,0,21,21,21,27-10-22,27-10-22,14:55:24,Sun Nov 27 2022 14:55:24 GMT+0100 (Centraleuropæisk normaltid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class1,0,0,0,no,mono,no,18,no,white,no,no,768,924,3.6.1,psycho,psycho,4,osweb,1.4.11,1,lulb,262,,0,a,m,m,a,f,a,704,4309482,1119,1840,1026,704,2,psycho,672,1280,24,720,24,-7,-7,1280,1669557156776,1024,2,48000,-16,experiment,0,even,Win32,bull,4357231,57,57,57,4355949,44,4356484,4357145,4318879,57,4309576,4310705,4325454,4357280,4357994,57,4357195,4357280,ExPsyLing2022_Class1,21,14947,22,animal,yes,1024
96,96,680,680,black,no,block2,2,Mozilla,Netscape,5.0 (Windows),psycho,psycho,psycho,0,fully-scrambled,uniform,1,1,a,22,0,0,0,22,0,0,22,22,22,0,0,0,0,22,22,0,0,22,22,22,27-10-22,27-10-22,14:55:24,Sun Nov 27 2022 14:55:24 GMT+0100 (Centraleuropæisk normaltid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class1,0,0,0,no,mono,no,18,no,white,no,no,768,924,3.6.1,psycho,psycho,8,osweb,1.4.11,1,ooarkang,262,,0,a,m,m,a,f,a,686,4309482,1119,1840,1026,686,2,psycho,672,1280,24,720,24,-7,-7,1280,1669557156776,1024,2,48000,-16,experiment,0,even,Win32,kangaroo,4359282,57,57,57,4357998,44,4358538,4359196,4318879,57,4309576,4310705,4325454,4359330,4360026,57,4359246,4359330,ExPsyLing2022_Class1,22,15633,23,animal,yes,1024
96,96,678,678,black,no,block2,2,Mozilla,Netscape,5.0 (Windows),psycho,psycho,psycho,0,semi-scrambled,uniform,1,1,f,23,0,0,0,23,0,0,23,23,23,0,0,0,0,23,23,0,0,23,23,23,27-10-22,27-10-22,14:55:24,Sun Nov 27 2022 14:55:24 GMT+0100 (Centraleuropæisk normaltid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class1,0,0,0,no,mono,no,18,no,white,no,no,768,924,3.6.1,psycho,psycho,4,osweb,1.4.11,1,pulm,262,,0,f,m,m,a,f,f,628,4309482,1119,1840,1026,628,2,psycho,672,1280,24,720,24,-7,-7,1280,1669557156776,1024,2,48000,-16,experiment,0,even,Win32,plum,4361329,57,57,57,4360031,44,4360569,4361229,4318879,57,4309576,4310705,4325454,4361379,4362008,57,4361279,4361379,ExPsyLing2022_Class1,23,16261,24,fruit_veg,yes,1024
96,96,677,677,black,no,block2,2,Mozilla,Netscape,5.0 (Windows),psycho,psycho,psycho,0,semi-scrambled,uniform,1,1,f,24,0,0,0,24,0,0,24,24,24,0,0,0,0,24,24,0,0,24,24,24,27-10-22,27-10-22,14:55:24,Sun Nov 27 2022 14:55:24 GMT+0100 (Centraleuropæisk normaltid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class1,0,0,0,no,mono,no,18,no,white,no,no,768,924,3.6.1,psycho,psycho,4,osweb,1.4.11,1,pmoe,262,,0,f,m,m,a,f,f,669,4309482,1119,1840,1026,669,2,psycho,672,1280,24,720,24,-7,-7,1280,1669557156776,1024,2,48000,-16,experiment,0,even,Win32,pome,4363328,57,57,57,4362014,44,4362558,4363228,4318879,57,4309576,4310705,4325454,4363378,4364058,57,4363278,4363378,ExPsyLing2022_Class1,24,16930,25,fruit_veg,yes,1024
96,96,670,670,black,no,block2,2,Mozilla,Netscape,5.0 (Windows),psycho,psycho,psycho,0,identical,uniform,1,1,f,25,0,0,0,25,0,0,25,25,25,0,0,0,0,25,25,0,0,25,25,25,27-10-22,27-10-22,14:55:24,Sun Nov 27 2022 14:55:24 GMT+0100 (Centraleuropæisk normaltid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class1,0,0,0,no,mono,no,18,no,white,no,no,768,924,3.6.1,psycho,psycho,7,osweb,1.4.11,1,avocado,262,,0,f,m,m,a,f,f,502,4309482,1119,1840,1026,502,2,psycho,672,1280,24,720,24,-7,-7,1280,1669557156776,1024,2,48000,-16,experiment,0,even,Win32,avocado,4365345,57,57,57,4364064,44,4364600,4365260,4318879,57,4309576,4310705,4325454,4365398,4365907,57,4365310,4365398,ExPsyLing2022_Class1,25,17432,26,fruit_veg,yes,1024
96,96,675,675,black,no,block2,2,Mozilla,Netscape,5.0 (Windows),psycho,psycho,psycho,0,fully-scrambled,uniform,1,1,a,26,0,0,0,26,0,0,26,26,26,0,0,0,0,26,26,0,0,26,26,26,27-10-22,27-10-22,14:55:24,Sun Nov 27 2022 14:55:24 GMT+0100 (Centraleuropæisk normaltid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class1,0,0,0,no,mono,no,18,no,white,no,no,768,924,3.6.1,psycho,psycho,8,osweb,1.4.11,1,stotoeir,262,,0,a,m,m,a,f,a,785,4309482,1119,1840,1026,785,2,psycho,672,1280,24,720,24,-7,-7,1280,1669557156776,1024,2,48000,-16,experiment,0,even,Win32,tortoise,4367193,57,57,57,4365912,44,4366451,4367109,4318879,57,4309576,4310705,4325454,4367241,4368040,57,4367158,4367241,ExPsyLing2022_Class1,26,18217,27,animal,yes,1024
