"Mod_level","acc","accuracy","average_response_time","avg_rt","background","canvas_backend","category","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions1","correct_instructions2","correct_instructions3","correct_keyboard_response","correct_response","count_block_1","count_block_2","count_block_3","count_block_4","count_correct","count_experiment","count_fixation","count_incorrect","count_instructions1","count_instructions2","count_instructions3","count_instructions4","count_instructions_4","count_keyboard_response","count_logger","count_mask1","count_mask2","count_practice","count_prime","count_target","count_thanks","count_trial_sequence","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practice","logfile","mouse_backend","opensesame_codename","opensesame_version","prime","repeat_cycle","response","response_instructions1","response_instructions2","response_instructions3","response_instructions4","response_instructions_4","response_keyboard_response","response_time","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_instructions4","response_time_instructions_4","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_block_1","time_block_2","time_block_3","time_block_4","time_correct","time_experiment","time_fixation","time_incorrect","time_instructions1","time_instructions2","time_instructions3","time_instructions4","time_instructions_4","time_keyboard_response","time_logger","time_mask1","time_mask2","time_practice","time_prime","time_target","time_thanks","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_length"
"exact","36.36363636363637","36.36363636363637","671.1398332766046","671.1398332766046","black","psycho","manmade","psycho","psycho","0","uniform","1","undefined","undefined","undefined","1","m","NA","NA","NA","NA","10","0","10","10","0","0","0","NA","NA","10","10","10","10","0","10","10","0","10","Thu Nov 24 11:48:55 2022","The main experiment item","yes","NA","Class2_2022.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Class2","no","mono","no","18","no","white","no","no","768","psycho","10","10","/Users/ethan/Documents/GitHub/OpenSesame/Class2/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.12","SINK","0","m","space","space","space","NA","NA","m","152.29887497844175","493.04258401389234","487.69829198135994","547.1452079946175","NA","NA","152.29887497844175","2","psycho","1024","2","48000","-16","experiment","999","odd","SINK","NA","NA","NA","NA","19288.760708004702","2556.1982080107555","24670.297541015316","24103.41462501674","2570.190166006796","3085.220458015101","3584.2939580034","NA","NA","25423.42162501882","25577.019125019433","25323.884333018214","25389.714250020916","4132.774208002957","25357.632916013245","25423.30816600588","NA","24667.36616601702","Class2","4","7382.53816604265","11","yes","1024","4"
"exact","33.333333333333336","33.333333333333336","636.2623784201181","636.2623784201181","black","psycho","natural","psycho","psycho","0","uniform","0","undefined","undefined","undefined","0","n","NA","NA","NA","NA","11","0","11","11","0","0","0","NA","NA","11","11","11","11","0","11","11","0","11","Thu Nov 24 11:48:55 2022","The main experiment item","yes","NA","Class2_2022.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Class2","no","mono","no","18","no","white","no","no","768","psycho","11","11","/Users/ethan/Documents/GitHub/OpenSesame/Class2/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.12","TREE","0","m","space","space","space","NA","NA","m","252.61037499876693","493.04258401389234","487.69829198135994","547.1452079946175","NA","NA","252.61037499876693","2","psycho","1024","2","48000","-16","experiment","999","odd","TREE","NA","NA","NA","NA","25580.602208006894","2556.1982080107555","26147.356375004165","24103.41462501674","2570.190166006796","3085.220458015101","3584.2939580034","NA","NA","26901.98033300112","27155.87666601641","26802.06591601018","26868.061707995366","4132.774208002957","26835.873875010293","26901.852375012822","NA","26144.3922080216","Class2","4","7635.148541041417","12","yes","1024","4"
"unrelated","38.46153846153846","38.46153846153846","598.38516984914","598.38516984914","black","psycho","natural","psycho","psycho","0","uniform","1","undefined","undefined","undefined","1","n","NA","NA","NA","NA","12","0","12","12","0","0","0","NA","NA","12","12","12","12","0","12","12","0","12","Thu Nov 24 11:48:55 2022","The main experiment item","yes","NA","Class2_2022.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Class2","no","mono","no","18","no","white","no","no","768","psycho","12","12","/Users/ethan/Documents/GitHub/OpenSesame/Class2/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.12","CAKE","0","n","space","space","space","NA","NA","n","143.8586669974029","493.04258401389234","487.69829198135994","547.1452079946175","NA","NA","143.8586669974029","2","psycho","1024","2","48000","-16","experiment","999","odd","LEAF","NA","NA","NA","NA","25580.602208006894","2556.1982080107555","27726.461583020864","27159.65962500195","2570.190166006796","3085.220458015101","3584.2939580034","NA","NA","28482.6942080108","28627.874625002733","28383.43741602148","28449.086791020818","4132.774208002957","28417.067708011018","28482.559666008456","NA","27723.388708021957","Class2","5","7779.00720803882","13","yes","1024","4"
"two_modifications","35.714285714285715","35.714285714285715","698.5031220039153","698.5031220039153","black","psycho","manmade","psycho","psycho","0","uniform","0","undefined","undefined","undefined","0","m","NA","NA","NA","NA","13","0","13","13","0","0","0","NA","NA","13","13","13","13","0","13","13","0","13","Thu Nov 24 11:48:55 2022","The main experiment item","yes","NA","Class2_2022.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Class2","no","mono","no","18","no","white","no","no","768","psycho","13","13","/Users/ethan/Documents/GitHub/OpenSesame/Class2/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.12","L4M|*","0","None","space","space","space","NA","NA","None","2000.0365000159945","493.04258401389234","487.69829198135994","547.1452079946175","NA","NA","2000.0365000159945","2","psycho","1024","2","48000","-16","experiment","999","odd","LAMP","NA","NA","NA","NA","28631.609916017624","2556.1982080107555","29198.822625010507","27159.65962500195","2570.190166006796","3085.220458015101","3584.2939580034","NA","NA","29952.959665999515","31953.197708004154","29853.432375006378","29919.34345799382","4132.774208002957","29887.178500008304","29952.84670800902","NA","29195.80812501954","Class2","5","9779.043708054814","14","yes","1024","4"
"two_modifications","33.333333333333336","33.333333333333336","671.8957833363675","671.8957833363675","black","psycho","manmade","psycho","psycho","0","uniform","0","undefined","undefined","undefined","0","m","NA","NA","NA","NA","14","0","14","14","0","0","0","NA","NA","14","14","14","14","0","14","14","0","14","Thu Nov 24 11:48:55 2022","The main experiment item","yes","NA","Class2_2022.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Class2","no","mono","no","18","no","white","no","no","768","psycho","14","14","/Users/ethan/Documents/GitHub/OpenSesame/Class2/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.12","B411","0","n","space","space","space","NA","NA","n","299.3930419906974","493.04258401389234","487.69829198135994","547.1452079946175","NA","NA","299.3930419906974","2","psycho","1024","2","48000","-16","experiment","999","odd","BALL","NA","NA","NA","NA","28631.609916017624","2556.1982080107555","32526.35741600534","31958.029041008558","2570.190166006796","3085.220458015101","3584.2939580034","NA","NA","33280.24545800872","33581.10858302098","33180.58025001665","33246.664000005694","4132.774208002957","33214.43191601429","33280.13162501156","NA","32522.21075000125","Class2","5","10078.436750045512","15","yes","1024","4"
"one_modification","31.25","31.25","654.8345703158702","654.8345703158702","black","psycho","manmade","psycho","psycho","0","uniform","0","undefined","undefined","undefined","0","m","NA","NA","NA","NA","15","0","15","15","0","0","0","NA","NA","15","15","15","15","0","15","15","0","15","Thu Nov 24 11:48:55 2022","The main experiment item","yes","NA","Class2_2022.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Class2","no","mono","no","18","no","white","no","no","768","psycho","15","15","/Users/ethan/Documents/GitHub/OpenSesame/Class2/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.12","\\/ASE","0","n","space","space","space","NA","NA","n","398.9163750084117","493.04258401389234","487.69829198135994","547.1452079946175","NA","NA","398.9163750084117","2","psycho","1024","2","48000","-16","experiment","999","odd","VASE","NA","NA","NA","NA","28631.609916017624","2556.1982080107555","34152.67516599852","33584.994416014524","2570.190166006796","3085.220458015101","3584.2939580034","NA","NA","34906.63974999916","35306.754958000965","34807.22704101936","34872.93320801109","4132.774208002957","34840.76262501185","34906.52358302032","NA","34149.67612500186","Class2","5","10477.353125053924","16","yes","1024","4"
"one_modification","35.294117647058826","35.294117647058826","634.3232647084412","634.3232647084412","black","psycho","natural","psycho","psycho","0","uniform","1","undefined","undefined","undefined","1","n","NA","NA","NA","NA","16","0","16","16","0","0","0","NA","NA","16","16","16","16","0","16","16","0","16","Thu Nov 24 11:48:55 2022","The main experiment item","yes","NA","Class2_2022.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Class2","no","mono","no","18","no","white","no","no","768","psycho","16","16","/Users/ethan/Documents/GitHub/OpenSesame/Class2/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.12","1EAF","0","n","space","space","space","NA","NA","n","306.14237498957664","493.04258401389234","487.69829198135994","547.1452079946175","NA","NA","306.14237498957664","2","psycho","1024","2","48000","-16","experiment","999","odd","LEAF","NA","NA","NA","NA","28631.609916017624","2556.1982080107555","35877.26787501015","35310.730249999324","2570.190166006796","3085.220458015101","3584.2939580034","NA","NA","36630.704291019356","36938.00658301916","36531.07733299839","36597.01333299745","4132.774208002957","36564.88116600667","36630.56637500995","NA","35874.22349999542","Class2","6","10783.4955000435","17","yes","1024","4"
"exact","38.888888888888886","38.888888888888886","607.5808541694036","607.5808541694036","black","psycho","natural","psycho","psycho","0","uniform","1","undefined","undefined","undefined","1","n","NA","NA","NA","NA","17","0","17","17","0","0","0","NA","NA","17","17","17","17","0","17","17","0","17","Thu Nov 24 11:48:55 2022","The main experiment item","yes","NA","Class2_2022.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Class2","no","mono","no","18","no","white","no","no","768","psycho","17","17","/Users/ethan/Documents/GitHub/OpenSesame/Class2/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.12","CROW","0","n","space","space","space","NA","NA","n","152.95987500576302","493.04258401389234","487.69829198135994","547.1452079946175","NA","NA","152.95987500576302","2","psycho","1024","2","48000","-16","experiment","999","odd","CROW","NA","NA","NA","NA","36941.54716600315","2556.1982080107555","37517.65200000955","35310.730249999324","2570.190166006796","3085.220458015101","3584.2939580034","NA","NA","38271.72154100845","38425.83600000944","38172.31570801232","38237.99108300591","4132.774208002957","38205.92766601476","38271.605083020404","NA","37515.063500002725","Class2","7","10936.455375049263","18","yes","1024","4"
"unrelated","42.10526315789474","42.10526315789474","589.1338180027608","589.1338180027608","black","psycho","natural","psycho","psycho","0","uniform","1","undefined","undefined","undefined","1","n","NA","NA","NA","NA","18","0","18","18","0","0","0","NA","NA","18","18","18","18","0","18","18","0","18","Thu Nov 24 11:48:55 2022","The main experiment item","yes","NA","Class2_2022.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Class2","no","mono","no","18","no","white","no","no","768","psycho","18","18","/Users/ethan/Documents/GitHub/OpenSesame/Class2/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.12","BIKE","0","n","space","space","space","NA","NA","n","257.087167003192","493.04258401389234","487.69829198135994","547.1452079946175","NA","NA","257.087167003192","2","psycho","1024","2","48000","-16","experiment","999","odd","VINE","NA","NA","NA","NA","38430.36154101719","2556.1982080107555","38997.004708013264","35310.730249999324","2570.190166006796","3085.220458015101","3584.2939580034","NA","NA","39750.972291018115","40009.22645800165","39651.74670799752","39717.37091601244","4132.774208002957","39685.28787500691","39750.85708301049","NA","38994.36054099351","Class2","8","11193.542542052455","19","yes","1024","4"
"one_modification","40","40","562.1482854534406","562.1482854534406","black","psycho","manmade","psycho","psycho","0","uniform","0","undefined","undefined","undefined","0","m","NA","NA","NA","NA","19","0","19","19","0","0","0","NA","NA","19","19","19","19","0","19","19","0","19","Thu Nov 24 11:48:55 2022","The main experiment item","yes","NA","Class2_2022.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Class2","no","mono","no","18","no","white","no","no","768","psycho","19","19","/Users/ethan/Documents/GitHub/OpenSesame/Class2/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.12","CAK3","0","n","space","space","space","NA","NA","n","49.42316701635718","493.04258401389234","487.69829198135994","547.1452079946175","NA","NA","49.42316701635718","2","psycho","1024","2","48000","-16","experiment","999","odd","CAKE","NA","NA","NA","NA","40012.569125014124","2556.1982080107555","40587.12416602066","35310.730249999324","2570.190166006796","3085.220458015101","3584.2939580034","NA","NA","41340.94808300142","41391.70616600313","41241.644333000295","41307.38012501388","4132.774208002957","41275.24787501898","41340.825040999334","NA","40579.786040994804","Class2","8","11242.965709068812","20","yes","1024","4"
"exact","42.857142857142854","42.857142857142854","540.3207381466581","540.3207381466581","black","psycho","natural","psycho","psycho","0","uniform","1","undefined","undefined","undefined","1","n","NA","NA","NA","NA","20","0","20","20","0","0","0","NA","NA","20","20","20","20","0","20","20","0","20","Thu Nov 24 11:48:55 2022","The main experiment item","yes","NA","Class2_2022.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Class2","no","mono","no","18","no","white","no","no","768","psycho","20","20","/Users/ethan/Documents/GitHub/OpenSesame/Class2/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.12","TICK","0","n","space","space","space","NA","NA","n","103.76979201100767","493.04258401389234","487.69829198135994","547.1452079946175","NA","NA","103.76979201100767","2","psycho","1024","2","48000","-16","experiment","999","odd","TICK","NA","NA","NA","NA","40012.569125014124","2556.1982080107555","41961.43049999955","41394.38695801073","2570.190166006796","3085.220458015101","3584.2939580034","NA","NA","42714.20233300887","42819.267415994545","42615.01158299507","42680.59133301722","4132.774208002957","42648.62849999918","42714.08100001281","NA","41958.28758299467","Class2","9","11346.73550107982","21","yes","1024","4"
"two_modifications","40.90909090909091","40.90909090909091","526.9514565033288","526.9514565033288","black","psycho","manmade","psycho","psycho","0","uniform","0","undefined","undefined","undefined","0","m","NA","NA","NA","NA","21","0","21","21","0","0","0","NA","NA","21","21","21","21","0","21","21","0","21","Thu Nov 24 11:48:55 2022","The main experiment item","yes","NA","Class2_2022.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Class2","no","mono","no","18","no","white","no","no","768","psycho","21","21","/Users/ethan/Documents/GitHub/OpenSesame/Class2/quickrun.csv","psycho","Lentiform Loewenfeld","3.3.12","V4S3","0","n","space","space","space","NA","NA","n","246.19654199341312","493.04258401389234","487.69829198135994","547.1452079946175","NA","NA","246.19654199341312","2","psycho","1024","2","48000","-16","experiment","999","odd","VASE","NA","NA","NA","NA","42822.978875017725","2556.1982080107555","43389.59041601629","41394.38695801073","2570.190166006796","3085.220458015101","3584.2939580034","NA","NA","44143.53754100739","44390.78812501975","44044.0270830004","44109.9310410209","4132.774208002957","44077.92983300169","44143.41725001577","NA","43386.55175000895","Class2","9","11592.932043073233","22","yes","1024","4"
